profile_url,name,num_hits,matches,snippets,personal_urls,cv_filename
https://business.gwu.edu/vanessa-perry,Vanessa Perry,5,AI; Algorithms; Artificial Intelligence,"stinctions Invited Testimony, U.S. Senate Subcommittee on Housing, Transportation, and Community Development Hearing, “ Artificial Intelligence and Housing: Exploring Promise and Peril ,” January 31, 2024. 2020, AMA-EBSCO Annual Award for Responsible Research in  || urnal of the Center for Policy Analysis and Research , 2024, 34-37. Perry, V., Kirsten Martin and Ann Schnare (2023), “ Algorithms for All: Can AI in the Mortgage Market Expand Access to Homeownership? ” AI , 4(4), 888-903. Davis, Nicole, Nils Olsen, || Policy Analysis and Research , 2024, 34-37. Perry, V., Kirsten Martin and Ann Schnare (2023), “ Algorithms for All: Can AI in the Mortgage Market Expand Access to Homeownership? ” AI , 4(4), 888-903. Davis, Nicole, Nils Olsen, Vanessa G. Perr || en Martin and Ann Schnare (2023), “ Algorithms for All: Can AI in the Mortgage Market Expand Access to Homeownership? ” AI , 4(4), 888-903. Davis, Nicole, Nils Olsen, Vanessa G. Perry, Marcus Stewart & Tiffany White (2023), “I’m Only Human? T ||  Review, 51 (1), Fall 2009. Book Chapters & Practitioner Publications Perry, Vanessa Gail and Martin, Kirsten (2022). “ Algorithms for All: Has Digitalization in the Mortgage Market Expanded Access to Homeownership? ” June 2. https://ssrn.com/abstrac",https://www.banking.senate.gov/hearings/artificial-intelligence-and-housing-exploring-promise-and-peril,
https://business.gwu.edu/vikram-bhargava,Vikram R. Bhargava,3,AI; algorithms; artificial intelligence,"organizational contexts. He is interested in topics including technology addiction , mass social media outrage , hiring algorithms and the future of work , autonomous vehicles , and other topics related to artificial intelligence (AI) policy and ethi || ass social media outrage , hiring algorithms and the future of work , autonomous vehicles , and other topics related to artificial intelligence (AI) policy and ethics. His research has been published by the Business Ethics Quarterly, Journal of Business Ethics, a || , hiring algorithms and the future of work , autonomous vehicles , and other topics related to artificial intelligence (AI) policy and ethics. His research has been published by the Business Ethics Quarterly, Journal of Business Ethics, and t",https://vikrambhargava.com/,Vikram%20Bhargava%20CV%20.pdf
https://business.gwu.edu/vineet-bhagwat,Vineet Bhagwat,0,,,,VineetBhagwat_CV_2025Oct.pdf
https://business.gwu.edu/vontrese-pamphile,Vontrese Pamphile,0,,,http://www.vontrese.com/,Pamphile-CV-Aug2025.pdf
https://business.gwu.edu/wenjing-wendy-duan,"Wenjing ""Wendy"" Duan",0,,,,
https://business.gwu.edu/william-c-handorf,William C. Handorf,0,,,,handorf-cv-02-08-2016.doc
https://business.gwu.edu/william-stromsem,William Stromsem,0,,,,William%20Stromsem%20CV.pdf
https://business.gwu.edu/yanfeng-xue,Yanfeng Xue,0,,,,
https://business.gwu.edu/yixin-lu,Yixin Lu,2,AI,"rked as a scientific consultant, with a focus on process optimization in the semiconductor industry. Areas of Expertise AI applications and Regulations Market Intelligence Platform Economy Sustainability Publications Balocco, F., Lu, Y., Li,  || n System Sciences, 2018 European Research Paper of the Year Award (Finalist), 2017 Select Courses Taught Foundations of AI (ISTM6214) Python Program Database Applications (ISTM6200)",https://yixin-ylu.github.io/,
https://business.gwu.edu/young-hoon-kwak,Young Hoon Kwak,3,Automation; Prediction,"nstruction Engineering and Management, Journal of Management in Engineering, Journal of Computing in Civil Engineering, Automation in Construction, Sustainability, Korean Management Review, and other prestigious academic outlets. Dr. Kwak’s primary r || lerance in Project-driven Organization Engineering, Construction, and Infrastructure Project Management Conceptual Cost Prediction Model for Public Road Planning via Rough Set Theory and Case-Based Reasoning Schedule Effectiveness of Alternative Cont || nstruction Engineering and Management, Journal of Management in Engineering, Journal of Computing in Civil Engineering, Automation in Construction, Sustainability, Korean Management Review, and other prestigious academic outlets. Please visit his Goo",https://ascelibrary.org/journal/jmenea,
https://business.gwu.edu/youngki-park,YoungKi Park,0,,,,
https://business.gwu.edu/yuan-guo,Yuan Guo,0,,,https://sites.google.com/view/yuan-guo/bio,cv_YuanGuo.pdf
https://business.gwu.edu/yun-zhang,Yun Zhang,0,,,,Yun Zhang.pdf
https://business.gwu.edu/zhengling-qi,Zhengling Qi,3,data science; machine learning; reinforcement learning,"ofessor of Decision Sciences at the George Washington University School of Business. His general research interests are data science, statistical machine learning, and related non-convex optimization. Most of his research applications are focused on im || es at the George Washington University School of Business. His general research interests are data science, statistical machine learning, and related non-convex optimization. Most of his research applications are focused on improving data-driven individual || ch applications are focused on improving data-driven individualized decision making. Recently he has started to work on reinforcement learning problems.",https://sites.google.com/view/statsqizl/,
